id;title;category;language;link;key;stanza1;stanza2;stanza3;stanza4;stanza5;stanza6;stanza7
11;Blut von Jesus;Worship;DEU;https://www.youtube.com/watch?v=nqE_3zI6fdY&list=RDnqE_3zI6fdY&start_radio=1;;"Verse 1$$Wo wäre ich ohne das Kreuz
Die Schwere meiner Sünden war zu groß
Unter dieser Last, all meiner Schuld und Scham
Wo wäre ich ohne das Kreuz";"Chorus$$Du rettest und befreist
Du erlöst und du machst heil
Du rettest und befreist
Du machst alles neu
Du rettest und befreist
2x";"Verse2$$Wo wäre ich ohne dich Jesus
Was keinem möglich war, hast du vollbracht
Deine Liebe kam so viel besser als gedacht
Nun gehört mein Herz dir voll und ganz";"Bridge1$$Es war nichts als nur das Blut
Nichts als nur das Blut
Nichts als nur das Blut von Jesus";"Bridge2$$Danke für mein neues Leben
Du lässt Tote auferstehen
Du hast dich für uns hingegeben
Durch dein Blut bin ich frei auf ewig";;
12;The Joy;Praise;ENG;https://www.youtube.com/watch?v=WYcpL6otp_Y&list=RDWYcpL6otp_Y&start_radio=1;;"Verse 1$$This is the day You made
So I’ll rejoice and be glad, rejoice and be glad in it
This is where I believe
You are more than enough, more than enough for me

You are faithful to Your promise, You are strong when I am weak
When I’m standing in Your presence, I have everything I need";"Chorus$$The joy of the Lord, the joy of the Lord is my strength
The joy of the Lord, the joy of the Lord is my strength
O my soul, bless His Name
All that is within me say
The joy of the Lord, the joy of the Lord is my strength";"Verse2$$Jesus, come what may
You are worthy of all, worthy of all my praise
You are faithful to Your promise, You are strong when I am weak
When I’m standing in Your presence, I have everything I need";"Bridge$$Let it rise up like a river, overflowing, Holy Spirit
Let it pour out with no limit, overflowing, Holy Spirit";;;
13;MengenalMu;Worship;IDN;https://www.youtube.com/watch?v=xDFx4flfzUM&list=RDxDFx4flfzUM&start_radio=1;;"Verse 1$$Bila kubuka mataku
Dan lihat wajah-Mu
Ku terkagum
Bila kulihat hidupku
Dan karya tangan-Mu
Aku tersanjung

Kar'na semua yang baik
Dalam hidupku
Itulah karya-Mu
Kau b'ri kesempatan yang baru";"Chorus$$Dan ku ingin mengenal-Mu, Tuhan
Lebih dalam dari semua yang kukenal
Tiada kasih yang melebihi-Mu
Ku ada untuk menjadi penyembah-Mu";;;;;
14;Jadi SpertiMu;Worship;IDN;https://www.youtube.com/watch?v=Yzz-lzR6Iq0&list=RDYzz-lzR6Iq0&start_radio=1;;"Verse 1$$Bapa 'Kau setia
'Tak 'kan meninggalkan
Dan 'ku percaya Engkau milikku
Dan 'ku milik-Mu

Kerinduanku tinggikan nama-Mu
Kar'na 'ku tahu Engkau dalamku
Dan 'ku dalam-Mu";"Chorus$$Ubah hatiku seputih hati-Mu
Setulus salib-Mu
Kasih-Mu Tuhan
Biar mataku seperti mata-Mu
Pancarkan kasih-Mu
'Ku mau jadi seperti-Mu";;;;;
15;Allah Peduli;Worship;IDN;https://www.youtube.com/watch?v=lvMCrjoSFeE&list=RDlvMCrjoSFeE&start_radio=1;;"Verse 1$$Banyak perkara
Yang tak dapat kumengerti
Mengapakah harus terjadi
Di dalam kehidupan ini

Satu perkara
Yang kusimpan dalam hati
Tiada satupun kan terjadi
Tanpa Allah perduli";"Chorus$$Allah mengerti, Allah perduli
Segala persoalan yang kita hadapi
Tak akan pernah dibiarkannya
Kubergumul sendiri";;;;;
16;Serukan Nama-Nya;Praise;IDN;https://www.youtube.com/watch?v=wSFkl-2wT80&list=RDwSFkl-2wT80&start_radio=1;;"Verse 1$$Tuhanku maha besar
Tuhanku maha kuasa
Raja segala raja
Dia takkan tergoyahkan
Dia takkan terkalahkan
Dia hidup dan berkuasa";"Chorus$$Serukan namaNya, Yesus Tuhan Raja
Segala kuasa tunduk dalam namaNya
Dia luar biasa, perkasa, mulia
Yesus, nama di atas segala nama";;;;;
17;Bri Syukur Bri Puji ;Worship;IDN;https://www.youtube.com/watch?v=CgdIbXF5kQw&list=RDCgdIbXF5kQw&start_radio=1;;"Verse 1$$Buat karya-Mu
Buat s'gala rencana-Mu
Ku b'ri syukur
Dan pujian bagi-Mu";"Chorus$$B'ri syukur
B'ri puji
S'bab ku tahu
Allah bekerja buat kebaikan ku

B'ri syukur
B'ri puji
Ku yakin
Rahmat-Mu beserta ku";"Verse 1$$Buat s'gala hal
Yang tak ku mengerti
Dengan iman
Ku s'rahkan pada-Mu";;;;
18;Tak Tertandingi ;Praise;IDN;https://www.youtube.com/watch?v=wvlldOnFahU&list=RDwvlldOnFahU&start_radio=1;;"Verse 1$$Pada siapa kau bandingkan
Perbuatan Nya yang heran
Tak ada
Kerajaan Nya yang terbesar
Tak akan tergoyahkan

Semua musuh pun gemetar
Mendengar nama Mu Tuhan
Sorak kemenangan";"Chorus$$Sungguh tak tertandingi
Tak ada setara dengan Mu
Hanya Yesus Tuhanlah yang terhebat
Jauh melebihi dari penguasa di dunia
Kerajaan Mu kekal";;;;;
19;Kar'na Salib-Mu;Worship;IDN;https://www.youtube.com/watch?v=IQQekSKqoCo&list=RDIQQekSKqoCo&start_radio=1;;"Verse 1$$Hanya Kau Tuhan di hidupku
Kau berikan hidup yang baru
DarahMu menyucikan pulihkan hatiku
Kunyatakan Kaulah segalanya

Engkaulah sumber pengharapan
KuasaMu sanggup menyembuhkan
Jiwaku pun berserah hanya kepadaMu
Yesus Kaulah segalanya";"Chorus$$Kar’na salibMu ku hidup
Kar’na salibMu ku menang
Engkau yang berkuasa sanggup
‘Tuk melakukan mujizatMu
Dihidupku";;;;;
20;Dengan Apa Kan Kubalas;Worship;IDN;https://www.youtube.com/watch?v=FViAQQlZpjs&list=RDFViAQQlZpjs&start_radio=1;;"Verse 1$$Kau Allah Yang Setia
Bapa Yang Mulia
Kasih-Mu besar Tuhan
Kau pulihkan hidupku

Kaulah Harapanku
hidupku dalam-Mu
terima kasih Tuhan
Kau s'lamatkan hidupku";"Chorus$$Dengan apa kan ku balas segala kebaikanMu?
Segenap hatiku menyembahMu Yesus,
Ku bersyukur pada-Mu, s'lamanya,
selamanya.";"Verse 2$$Kaulah Harapanku,
hidupku dalam-Mu,
terima kasih Tuhan,
Kau s'lamatkan hidupku.";;;;
